country,state,city,lng,lat
Argentina,Buenos Aires,Avellaneda,-58.3565,-34.6639
Argentina,Buenos Aires,General Guido,-57.7917,-36.6407
Argentina,Buenos Aires,Bragado,-60.4897,-35.1191
Argentina,Buenos Aires,Brandsen,-58.2343,-35.1684
Argentina,La Pampa,Parera,-64.5009,-35.1460
Argentina,Catamarca,Saujil,-66.2118,-28.1744
Argentina,Santa Fe,San Cristóbal,-61.2372,-30.3105
Argentina,Buenos Aires,Castelli,-57.8039,-36.0895
Argentina,Buenos Aires,Berisso,-57.8830,-34.8735
Argentina,Santiago del Estero,Campo Gallo,-62.8500,-26.5833
Argentina,Mendoza,Junín,-68.4790,-33.1477
Argentina,Tucumán,Tafí Viejo,-65.2592,-26.7320
Argentina,Tucumán,Tafí del Valle,-65.7098,-26.8527
Argentina,Neuquén,Añelo,-68.7884,-38.3544
Argentina,Santa Fe,Las Rosas,-61.5804,-32.4766
Argentina,La Rioja,Olta,-66.2630,-30.6312
Argentina,Chaco,Margarita Belén,-58.9722,-27.2616
Argentina,Mendoza,General Lavalle,-68.5914,-32.7222
Argentina,Buenos Aires,General Lavalle,-56.9433,-36.4063
Argentina,Santiago del Estero,Villa Atamisqui,-63.8161,-28.4961
Argentina,Jujuy,Tumbaya,-65.4574,-23.8563
Argentina,Buenos Aires,Alberti,-60.2759,-35.0269
Argentina,Entre Ríos,Federación,-57.8996,-31.0062
Argentina,Entre Ríos,Federal,-58.7833,-30.9546
Argentina,San Luis,La Toma,-65.6239,-33.0526
Argentina,Misiones,Bernardo de Irigoyen,-53.6458,-26.2552
Argentina,Santa Fe,Tostado,-61.7692,-29.2320
Argentina,Buenos Aires,Vedia,-61.5414,-34.4956
Argentina,Corrientes,Gobernador Ingeniero Valentín Virasoro,-56.0333,-28.0500
Argentina,Buenos Aires,Mar del Tuyú,-56.6888,-36.5753
Argentina,Buenos Aires,General Rodríguez,-58.9525,-34.6084
Argentina,Formosa,Clorinda,-57.7185,-25.2848
Argentina,Buenos Aires,Morón,-58.6196,-34.6509
Argentina,La Rioja,Villa Castelli,-68.2128,-29.0029
Argentina,Buenos Aires,Saladillo,-59.7779,-35.6371
Argentina,Santiago del Estero,Bandera,-62.2660,-28.8884
Argentina,Buenos Aires,Suipacha,-59.6878,-34.7702
Argentina,Tucumán,Banda del Río Salí,-65.1667,-26.8333
Argentina,Misiones,Santa Ana,-55.5809,-27.3674
